630 ,Under Construction,Possession by Aug 2020,"31,905 ",2.01 Cr,"Mazagaon, Mumbai",2 BHK Apartment in Alfa Mana A M Residency
1260 ,Ready to move,9 - 10 years old,"11,904 ",1.5 Cr,"Kharghar, Mumbai",3 BHK Apartment in Prajapati Lawns
653 ,Under Construction,Possession by Sep 2022,"17,917 ",1.17 Cr,"Thane West, Mumbai",2 BHK Apartment in Ashar Group Edge Wing A Phase II
 , ,, ,  ,,
655 ,Under Construction,Possession by Aug 2021,"8,748 ",57.3 L,"Panvel, Mumbai",1 BHK Apartment in Tricity Luxuria
986 ,Under Construction,Possession by May 2024,"32,860 ",3.24 Cr,"Powai, Mumbai",3 BHK Apartment in Kanakia Codename Future A
377 ,Under Construction,Possession by Nov 2022,"7,155 ",26.97 L,"Karjat, Mumbai",2 BHK Apartment in Anmol The Nature
580 ,Ready to move,0 - 1 year old,"9,482 ",55 L,"kasaradavali thane west, Mumbai",1 BHK Apartment in Reputed Joy Square
510 ,Under Construction,2 Bathrooms,"10,392 ",53 L,"Dombivali, Mumbai",2 BHK Apartment
582 ,Ready to move,Resale ,"3,780 ",22 L,"Nala Sopara, Mumbai",1 BHK Apartment in Dudhwala Ayan Residency Phase 1
1870 ,Under Construction,Possession by Nov 2023,"8,750 ",1.63 Cr,"Kharghar, Mumbai",3 BHK Apartment in Paradise Sai Aaradhya
640 ,Ready to move,0 - 1 year old,"5,312 ",34 L,"Virar, Mumbai",1 BHK Apartment in Shubh Shwet Kini Tower
736 ,Under Construction,Possession by Feb 2022,"19,565 ",1.44 Cr,"Thane West, Mumbai",3 BHK Apartment in Vijay Orovia Phase 1
655 ,Ready to move,0 - 1 year old,"8,396 ",55 L,"kasaradavali thane west, Mumbai",1 BHK Apartment
627 ,Under Construction,Possession by Nov 2023,"18,051 ",1.13 Cr,"Thane West, Mumbai",2 BHK Apartment in Piramal Vaikunth Cluster 2
517 ,Under Construction,1 Bathrooms,"3,800 ",19.65 L,"Sarswati Nagar, Mumbai",1 BHK Apartment
395 ,Under Construction,Possession by Nov 2023,"18,987 ",75 L,"Mulund West, Mumbai",1 BHK Apartment in Shree Akshay Shree Krushna Tower
550 ,Ready to move,0 - 1 year old,"18,181 ",1 Cr,"Dahisar West, Mumbai",1 BHK Apartment in Reputed Sheetal Anand CHS
686 ,Ready to move,1 Bathrooms,"4,927 ",33.8 L,"Nala Sopara, Mumbai",2 BHK Apartment in Shree Parasnath Jay Vijay Nagari No 1
1082 ,Ready to move,4 - 5 years old,"7,024 ",76 L,"Kalamboli, Mumbai",2 BHK Apartment in Neelsidhi Amarante
476 ,Under Construction,Possession by Nov 2025,"5,941 ",28.27 L,"Taloja, Mumbai",1 BHK Apartment in Ashtvinayak Sarvam
1097 ,Ready to move,2 Bathrooms,"25,068 ",2.75 Cr,"Kandivali East, Mumbai",2 BHK Apartment
350 ,Under Construction,Possession by Nov 2023,"4,000 ",14 L,"Nala Sopara, Mumbai",1 RK Studio Apartment in Dudhwala Ayan Residency Phase 1
915 ,Ready to move,4 - 5 years old,"4,590 ",42 L,"Naigaon East, Mumbai",2 BHK Apartment in HMK Builders Vishnu Apartment
 , ,, ,  ,,
650 ,Ready to move,0 - 1 year old,"8,615 ",56 L,"kasaradavali thane west, Mumbai",1 BHK Apartment in Reputed Kasarvadavali
465 ,Under Construction,Possession by Nov 2022,"22,580 ",1.05 Cr,"Bhandup West, Mumbai",1 BHK Apartment in Srishti Group Pride Phase 1
630 ,Ready to move,6 - 7 years old,"5,873 ",37 L,"Kalamboli, Mumbai",1 BHK Apartment in Anchit Chandra Ganga Residency
745 ,Under Construction,Possession by Nov 2020,"11,703 ",87.19 L,"Panvel, Mumbai",2 BHK Apartment in Marathon Nexzone
920 ,Ready to move,2 Bathrooms,"33,695 ",3.1 Cr,"Ville Parle East, Mumbai",3 BHK Apartment
639 ,Under Construction,Possession by May 2021,"15,968 ",1.02 Cr,"Thane West, Mumbai",2 BHK Apartment in Dosti West County Oak
495 ,Under Construction,Possession by May 2023,"10,496 ",51.95 L,"Dombivali, Mumbai",1 BHK Apartment in Runwal Gardens Phase I
422 ,Under Construction,Possession by Nov 2020,"17,298 ",73 L,"Thane West, Mumbai",1 BHK Apartment in Runwal Eirene
710 ,Ready to move,0 - 1 year old,"10,563 ",75 L,"kasaradavali thane west, Mumbai",1 BHK Apartment
250 ,Ready to move,1 Bathrooms,"11,200 ",28 L,"Mankhurd, Mumbai",1 RK Studio Apartment
610 ,Ready to move,0 - 1 year old,"9,016 ",55 L,"kasaradavali thane west, Mumbai",1 BHK Apartment
325 ,Ready to move,1 Bathrooms,"23,076 ",75 L,"Santacruz East, Mumbai",1 RK Studio Apartment
780 ,Ready to move,2 Bathrooms,"30,769 ",2.4 Cr,"Andheri East, Mumbai",2 BHK Apartment
700 ,Ready to move,5 - 6 years old,"6,857 ",48 L,"Kalamboli, Mumbai",1 BHK Apartment in RK Vaishnavi Heights
1050 ,Ready to move,2 Bathrooms,"20,476 ",2.15 Cr,"Chembur, Mumbai",2 BHK Apartment
900 ,Ready to move,2 - 3 years old,"6,444 ",58 L,"Dombivali, Mumbai",2 BHK Apartment in Lodha Casa Rio Gold
