area,construction_status,per_sqr_ft,price,property_location,title,years
537 ,Under Construction,"16,759 ",90 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
617 ,Under Construction,"17,017 ",1.05 Cr,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
645 ,Ready to move,"15,348 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
417 ,Under Construction,"14,148 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
390 ,Under Construction,"15,128 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
375 ,Under Construction,"15,733 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
 , , ,  ,,,
372 ,Under Construction,"15,860 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
786 ,Under Construction,"15,903 ",1.25 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP Estella,Possession by Nov 2020
539 ,Under Construction,"17,068 ",92 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
537 ,Under Construction,"16,759 ",90 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
617 ,Under Construction,"17,017 ",1.05 Cr,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
349 ,Ready to move,"12,931 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
534 ,Ready to move,"12,570 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
786 ,Ready to move,"13,120 ",1.02 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
384 ,Ready to move,"11,749 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
426 ,Ready to move,"10,588 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
583 ,Ready to move,"17,010 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
455 ,Ready to move,"14,757 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
633 ,Ready to move,"15,664 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
1098 ,Ready to move,"6,102 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
539 ,Ready to move,"12,453 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
462 ,Under Construction,"19,480 ",90 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Codename HOTCAKE,Possession by Nov 2024
453 ,Under Construction,"19,426 ",88 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Codename HOTCAKE,Possession by Nov 2024
325 ,Under Construction,"19,384 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Codename HOTCAKE,Possession by Nov 2024
786 ,Under Construction,"15,903 ",1.25 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP Estella,Possession by Nov 2020
 , , ,  ,,,
539 ,Under Construction,"17,068 ",92 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
537 ,Under Construction,"16,759 ",90 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
617 ,Under Construction,"17,017 ",1.05 Cr,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
417 ,Under Construction,"14,148 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
390 ,Under Construction,"15,128 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
375 ,Under Construction,"15,733 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
372 ,Under Construction,"15,860 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
417 ,Under Construction,"14,148 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
390 ,Under Construction,"15,128 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
375 ,Under Construction,"15,733 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
372 ,Under Construction,"15,860 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
786 ,Under Construction,"15,903 ",1.25 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP Estella,Possession by Nov 2020
539 ,Under Construction,"17,068 ",92 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
537 ,Under Construction,"16,759 ",90 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
617 ,Under Construction,"17,017 ",1.05 Cr,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
349 ,Ready to move,"12,931 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
534 ,Ready to move,"12,570 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
786 ,Ready to move,"13,120 ",1.02 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
 , , ,  ,,,
384 ,Ready to move,"11,749 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
426 ,Ready to move,"10,588 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
583 ,Ready to move,"17,010 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
455 ,Ready to move,"14,757 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
633 ,Ready to move,"15,664 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
1098 ,Ready to move,"6,102 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
539 ,Ready to move,"12,453 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
505 ,Ready to move,"13,293 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
365 ,Ready to move,"12,362 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
693 ,Ready to move,"7,369 ",51 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
538 ,Ready to move,"12,476 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
981 ,Ready to move,"6,829 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
1386 ,Ready to move,"7,148 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
645 ,Ready to move,"15,348 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
417 ,Under Construction,"14,148 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
390 ,Under Construction,"15,128 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
375 ,Under Construction,"15,733 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
372 ,Under Construction,"15,860 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
786 ,Under Construction,"15,903 ",1.25 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP Estella,Possession by Nov 2020
539 ,Under Construction,"17,068 ",92 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
 , , ,  ,,,
537 ,Under Construction,"16,759 ",90 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
617 ,Under Construction,"17,017 ",1.05 Cr,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
349 ,Ready to move,"12,931 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
534 ,Ready to move,"12,570 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
786 ,Ready to move,"13,120 ",1.02 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
384 ,Ready to move,"11,749 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
426 ,Ready to move,"10,588 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
583 ,Ready to move,"17,010 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
455 ,Ready to move,"14,757 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
633 ,Ready to move,"15,664 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
1098 ,Ready to move,"6,102 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
539 ,Ready to move,"12,453 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
505 ,Ready to move,"13,293 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
365 ,Ready to move,"12,362 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
693 ,Ready to move,"7,369 ",51 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
786 ,Under Construction,"15,903 ",1.25 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP Estella,Possession by Nov 2020
539 ,Under Construction,"17,068 ",92 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
537 ,Under Construction,"16,759 ",90 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
617 ,Under Construction,"17,017 ",1.05 Cr,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
 , , ,  ,,,
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
349 ,Ready to move,"12,931 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
534 ,Ready to move,"12,570 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
786 ,Ready to move,"13,120 ",1.02 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
384 ,Ready to move,"11,749 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
426 ,Ready to move,"10,588 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
583 ,Ready to move,"17,010 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
455 ,Ready to move,"14,757 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
633 ,Ready to move,"15,664 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
1098 ,Ready to move,"6,102 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
539 ,Ready to move,"12,453 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
505 ,Ready to move,"13,293 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
365 ,Ready to move,"12,362 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
693 ,Ready to move,"7,369 ",51 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
538 ,Ready to move,"12,476 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
981 ,Ready to move,"6,829 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
1386 ,Ready to move,"7,148 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
645 ,Ready to move,"15,348 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
417 ,Under Construction,"14,148 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
390 ,Under Construction,"15,128 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
 , , ,  ,,,
375 ,Under Construction,"15,733 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
372 ,Under Construction,"15,860 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
786 ,Under Construction,"15,903 ",1.25 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP Estella,Possession by Nov 2020
539 ,Under Construction,"17,068 ",92 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
537 ,Under Construction,"16,759 ",90 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
617 ,Under Construction,"17,017 ",1.05 Cr,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
349 ,Ready to move,"12,931 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
534 ,Ready to move,"12,570 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
786 ,Ready to move,"13,120 ",1.02 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
384 ,Ready to move,"11,749 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
426 ,Ready to move,"10,588 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
583 ,Ready to move,"17,010 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
455 ,Ready to move,"14,757 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
633 ,Ready to move,"15,664 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
1098 ,Ready to move,"6,102 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
786 ,Under Construction,"15,903 ",1.25 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP Estella,Possession by Nov 2020
539 ,Under Construction,"17,068 ",92 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
537 ,Under Construction,"16,759 ",90 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
617 ,Under Construction,"17,017 ",1.05 Cr,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
 , , ,  ,,,
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
417 ,Under Construction,"14,148 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
390 ,Under Construction,"15,128 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
375 ,Under Construction,"15,733 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
372 ,Under Construction,"15,860 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
786 ,Under Construction,"15,903 ",1.25 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP Estella,Possession by Nov 2020
539 ,Under Construction,"17,068 ",92 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
537 ,Under Construction,"16,759 ",90 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
617 ,Under Construction,"17,017 ",1.05 Cr,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
417 ,Under Construction,"14,148 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
390 ,Under Construction,"15,128 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
375 ,Under Construction,"15,733 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
372 ,Under Construction,"15,860 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
617 ,Under Construction,"17,017 ",1.05 Cr,"Mira Road East, Mumbai",2 BHK Apartment in JP Estella,Possession by Nov 2020
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
349 ,Ready to move,"12,931 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
786 ,Ready to move,"13,120 ",1.02 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
384 ,Ready to move,"11,749 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
455 ,Ready to move,"14,757 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
 , , ,  ,,,
633 ,Ready to move,"15,664 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
1098 ,Ready to move,"6,102 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
539 ,Ready to move,"12,453 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
505 ,Ready to move,"13,293 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
365 ,Ready to move,"12,362 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
693 ,Ready to move,"7,369 ",51 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
538 ,Ready to move,"12,476 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
981 ,Ready to move,"6,829 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
1386 ,Ready to move,"7,148 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
417 ,Under Construction,"14,148 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
375 ,Under Construction,"15,733 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
372 ,Under Construction,"15,860 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 6 Alexa,Possession by Nov 2024
786 ,Under Construction,"15,903 ",1.25 Cr,"Mira Road East, Mumbai",3 BHK Apartment in JP Estella,Possession by Nov 2020
381 ,Under Construction,"16,535 ",63 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Estella,Possession by Nov 2020
349 ,Ready to move,"12,931 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
426 ,Ready to move,"10,588 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
583 ,Ready to move,"17,010 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
455 ,Ready to move,"14,757 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
365 ,Ready to move,"12,362 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North,0 - 1 year old
538 ,Ready to move,"12,476 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JP North,0 - 1 year old
 , , ,  ,,,
1386 ,Ready to move,"7,148 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
645 ,Ready to move,"15,348 ",99 L,"Mira Road East, Mumbai",3 BHK Apartment in JP North,0 - 1 year old
720 ,Under Construction,"5,944 ",42.8 L,"Dombivali, Mumbai",1 BHK Apartment in Regency Anantam Phase III,2 Bathrooms
725 ,Ready to move,"6,206 ",45 L,"Dombivali, Mumbai",1 BHK Apartment in Parth Skyone,1 Bathrooms
555 ,Under Construction,"7,018 ",38.95 L,"Dombivali East, Mumbai",1 BHK Apartment,2 Bathrooms
387 ,Under Construction,"14,987 ",58 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Atria,Possession by Nov 2020
524 ,Under Construction,"13,740 ",72 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Atria,Possession by Nov 2020
1290 ,Ready to move,"8,914 ",1.15 Cr,"Kalamboli, Mumbai",3 BHK Apartment in Akshar Valencia,7 years old
743 ,Ready to move,"7,039 ",52.3 L,"kasaradavali thane west, Mumbai",1 BHK Independent House,0 - 1 year old
1085 ,Ready to move,"7,963 ",86.4 L,"kasaradavali thane west, Mumbai",2 BHK Independent House,0 - 1 year old
717 ,Under Construction,"27,336 ",1.96 Cr,"Wadala, Mumbai",2 BHK Apartment in Labdhi Codename Convenient,Possession by Dec 2026
1086 ,Ready to move,"8,195 ",89 L,"kasaradavali thane west, Mumbai",2 BHK Independent House,0 - 1 year old
1750 ,Ready to move,"20,000 ",3.5 Cr,"Seawoods, Mumbai",3 BHK Apartment,3 Bathrooms
1100 ,Ready to move,"14,090 ",1.55 Cr,"Vashi, Mumbai",2 BHK Apartment,2 Bathrooms
1330 ,Ready to move,"18,045 ",2.4 Cr,"Seawoods, Mumbai",2 BHK Apartment,2 Bathrooms
2400 ,Ready to move,"18,750 ",4.5 Cr,"Seawoods, Mumbai",3 BHK Apartment,3 Bathrooms
655 ,Under Construction,"19,389 ",1.26 Cr,"Thane West, Mumbai",2 BHK Apartment in Godrej Exquisite,Possession by Sep 2024
922 ,Under Construction,"18,980 ",1.74 Cr,"Thane West, Mumbai",3 BHK Apartment in Godrej Exquisite,Possession by Sep 2024
885 ,Ready to move,"9,378 ",83 L,"kasaradavali thane west, Mumbai",2 BHK Apartment,0 - 1 year old
725 ,Under Construction,"7,848 ",56.9 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,2 Bathrooms
 , , ,  ,,,
640 ,Ready to move,"4,140 ",26.5 L,"Virar, Mumbai",1 BHK Apartment in Mandar Cassa Bilss,0 - 1 year old
640 ,Ready to move,"4,140 ",26.5 L,"Virar, Mumbai",1 BHK Apartment in Mandar Cassa Bilss,0 - 1 year old
215 ,Under Construction,"6,804 ",14.63 L,"Karjat, Mumbai",1 BHK Apartment in Shree Tulsi Sagar Sargam Residency,Possession by Nov 2023
235 ,Under Construction,"6,811 ",16 L,"Karjat, Mumbai",1 BHK Apartment in Shree Tulsi Sagar Sargam Residency,Possession by Nov 2023
224 ,Under Construction,"6,823 ",15.21 L,"Karjat, Mumbai",1 BHK Apartment in Shree Tulsi Sagar Sargam Residency,Possession by Nov 2023
371 ,Under Construction,"6,486 ",23.99 L,"Karjat, Mumbai",2 BHK Apartment in Shree Tulsi Sagar Sargam Residency,Possession by Nov 2023
244 ,Under Construction,"6,393 ",15.59 L,"Karjat, Mumbai",1 BHK Apartment in Shree Tulsi Sagar Sargam Residency,Possession by Nov 2023
241 ,Under Construction,"6,815 ",16.42 L,"Karjat, Mumbai",1 BHK Apartment in Shree Tulsi Sagar Sargam Residency,Possession by Nov 2023
494 ,Under Construction,"9,279 ",45.83 L,"Panvel, Mumbai",2 BHK Apartment in Wadhwa Wise City,Possession by Nov 2025
628 ,Under Construction,"9,704 ",60.94 L,"Panvel, Mumbai",2 BHK Apartment in Wadhwa Wise City,Possession by Nov 2025
2200 ,Ready to move,"24,618 ",5.41 Cr,"Thane West, Mumbai",4 BHK Apartment in Hiranandani One Hiranandani Park,0 - 1 year old
1200 ,Ready to move,"11,666 ",1.4 Cr,"Kurla West, Mumbai",3 BHK Apartment,Resale 
524 ,Under Construction,"13,740 ",72 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Atria,Possession by Nov 2020
263 ,Under Construction,"17,171 ",44.99 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Aviva,Possession by Dec 2025
263 ,Under Construction,"17,106 ",44.99 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Aviva,Possession by Dec 2025
266 ,Under Construction,"16,913 ",44.99 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Aviva,Possession by Dec 2025
263 ,Under Construction,"17,171 ",44.99 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Aviva,Possession by Dec 2025
263 ,Under Construction,"17,106 ",44.99 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Aviva,Possession by Dec 2025
266 ,Under Construction,"16,913 ",44.99 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Aviva,Possession by Dec 2025
387 ,Under Construction,"14,987 ",58 L,"Mira Road East, Mumbai",1 BHK Apartment in JP Atria,Possession by Nov 2020
 , , ,  ,,,
524 ,Under Construction,"13,740 ",72 L,"Mira Road East, Mumbai",2 BHK Apartment in JP Atria,Possession by Nov 2020
415 ,Ready to move,"5,180 ",21.5 L,"Nala Sopara, Mumbai",1 RK Studio Apartment in Shree Parasnath Shalibhadra Yash,2 - 3 years old
703 ,Under Construction,"16,927 ",1.18 Cr,"Thane West, Mumbai",2 BHK Apartment in Lodha Casa Viva,Possession by Jun 2020
454 ,Under Construction,"16,256 ",73.8 L,"Thane West, Mumbai",1 BHK Apartment in Lodha Casa Viva,Possession by Jun 2020
700 ,Ready to move,"9,142 ",64 L,"Thane West, Mumbai",1 BHK Apartment in Bhoomi Group Acres,3 - 4 years old
1750 ,Ready to move,"7,428 ",1.3 Cr,"Kalamboli, Mumbai",3 BHK Apartment in Reputed The Springs,3 Bathrooms
830 ,Ready to move,"4,900 ",40.67 L,"Virar, Mumbai",2 BHK Apartment in Maitry Heights,0 - 1 year old
650 ,Ready to move,"9,230 ",60 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
1318 ,Ready to move,"20,941 ",2.76 Cr,"Thane West, Mumbai",3 BHK Apartment in Wadhwa Wadhwa Courtyard,1 - 2 years old
838 ,Ready to move,"19,928 ",1.66 Cr,"Thane West, Mumbai",2 BHK Apartment in Wadhwa Wadhwa Courtyard,1 - 2 years old
1167 ,Ready to move,"21,165 ",2.46 Cr,"Thane West, Mumbai",3 BHK Apartment in Wadhwa Wadhwa Courtyard,1 - 2 years old
